,CLASS_OCORRENCIAS,TIPO_OCORRENCIA,NUMERO_OCORRENCIAS
0,INCIDENTE,FALHA DO MOTOR EM VOO,17.0
1,ACIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,11.0
2,ACIDENTE,ESTOURO DE PNEU,6.0
3,ACIDENTE,OUTROS,5.0
4,ACIDENTE,COM TREM DE POUSO,4.0
5,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,3.0
6,INCIDENTE,POUSO LONGO,2.0
7,INCIDENTE,VOO CONTROLADO CONTRA O TERRENO,2.0
8,ACIDENTE,EXCURSÃO DE PISTA,2.0
9,ACIDENTE,FUMAÇA NA CABINE,1.0
10,INCIDENTE,CORTANTE DE VENTO / TEMPESTADE,1.0
11,INCIDENTE GRAVE,POUSO SEM TREM,1.0
12,INCIDENTE,PERDA DE CONTROLE EM VOO,1.0
13,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1.0
14,INCIDENTE,COM PARA-BRISAS / JANELA / PORTA,1.0
15,ACIDENTE,FALHA OU MAU FUNCIONAMENTO DO MOTOR,1.0
16,ACIDENTE,POUSO BRUSCO,1.0
17,ACIDENTE,COLISÃO COM FAUNA,1.0
18,ACIDENTE,VAZAMENTO DE COMBUSTÍVEL,1.0
19,INCIDENTE,COM ROTOR,1.0
