,CLASS_OCORRENCIAS,TIPO_OCORRENCIA,NUMERO_OCORRENCIAS
0,ACIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,27.0
1,ACIDENTE,FALHA DO MOTOR EM VOO,17.0
2,INCIDENTE,ESTOURO DE PNEU,13.0
3,INCIDENTE,COLISÃO COM AVE,8.0
4,ACIDENTE,EXCURSÃO DE PISTA,8.0
5,INCIDENTE,PERDA DE CONTROLE EM VOO,6.0
6,ACIDENTE,PERDA DE CONTROLE NO SOLO,4.0
7,ACIDENTE,POUSO BRUSCO,4.0
8,INCIDENTE GRAVE,OUTROS,4.0
9,ACIDENTE,FALHA OU MAU FUNCIONAMENTO DO MOTOR,4.0
10,INCIDENTE,COM PARA-BRISAS / JANELA / PORTA,3.0
11,ACIDENTE,INCURSÃO EM PISTA,3.0
12,INCIDENTE,COM TREM DE POUSO,3.0
13,ACIDENTE,POUSO SEM TREM,2.0
14,ACIDENTE,FOGO EM VOO,2.0
15,INCIDENTE,AERONAVE ATINGIDA POR OBJETO,2.0
16,INCIDENTE,F.O.D.,2.0
17,INCIDENTE,FALHA DO MOTOR NO SOLO,2.0
18,INCIDENTE GRAVE,COM COMANDOS DE VOO,2.0
19,INCIDENTE GRAVE,COLISÃO COM OBSTÁCULOS NO SOLO,1.0
20,ACIDENTE,COLISÃO COM FAUNA,1.0
21,ACIDENTE,VAZAMENTO DE COMBUSTÍVEL,1.0
22,ACIDENTE,CORTANTE DE VENTO / TEMPESTADE,1.0
23,ACIDENTE,CORTE INVOLUNTÁRIO DO MOTOR,1.0
24,ACIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,1.0
25,INCIDENTE GRAVE,INDETERMINADO,1.0
26,ACIDENTE,CONTATO ANORMAL COM A PISTAA,1.0
27,INCIDENTE,MANOBRA ABRUPTA,1.0
28,INCIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1.0
29,INCIDENTE,"GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS)",1.0
30,INCIDENTE,COM TRANSPORTE DE CARGA,1.0
31,ACIDENTE,POUSO LONGO,1.0
32,INCIDENTE,PANE SECA,1.0
33,ACIDENTE,OPERAÇÃO A BAIXA ALTITUDE,1.0
